f,new_date,reading,hours_skipped,reading_diff,jump
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-20T11:00:00Z,195,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-20T15:00:00Z,196,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-20T19:00:00Z,197,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-20T23:00:00Z,198,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-21T03:00:00Z,199,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-21T07:00:00Z,200,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-21T11:00:00Z,201,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-21T15:00:00Z,202,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-21T19:00:00Z,203,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-21T23:00:00Z,204,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-22T03:00:00Z,205,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-22T07:00:00Z,206,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-22T11:00:00Z,207,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-22T15:00:00Z,208,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-22T19:00:00Z,209,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-22T23:00:00Z,210,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-23T03:00:00Z,211,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-23T07:00:00Z,212,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-23T11:00:00Z,213,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-23T15:00:00Z,214,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-23T19:00:00Z,215,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-23T23:00:00Z,216,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-24T03:00:00Z,217,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-24T07:00:00Z,218,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-24T11:00:00Z,219,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-24T15:00:00Z,220,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-24T19:00:00Z,221,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-24T23:00:00Z,222,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-25T03:00:00Z,223,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-25T07:00:00Z,224,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-25T11:00:00Z,225,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-25T15:00:00Z,226,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-25T19:00:00Z,227,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-25T23:00:00Z,228,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-26T03:00:00Z,229,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-26T07:00:00Z,230,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-26T11:00:00Z,231,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-26T15:00:00Z,232,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-26T19:00:00Z,233,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-26T23:00:00Z,234,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-27T03:00:00Z,235,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-27T07:00:00Z,236,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-27T11:00:00Z,237,2,1,1
data-raw/raw_soil_data/2014_2/15_reordered.txt,2014-05-27T15:00:00Z,238,2,1,1
